run_key,problem,method,status,m,n,p,lambda,initial_objective,iterations,final_objective,final_residual,support_size,raw_nonzero_count,classification_support_threshold,thresholded_tail_norm,lambda_min,relative_lambda_min,numerical_locmin,runtime_total,runtime_algorithm,diagnostic_time,verification_calls,scheduled_verifications,forced_final_verifications,accepted_corrections,eligible_iterations,mean_verify_support,max_verify_support,eig_time,probe_time,verification_time,verification_time_fraction,gamma,kappa0,sigma,eta_lower_bound,log10_theoretical_correction_bound,regime,geometry,perturbation,seed,dirl_config,dirl_alpha,dirl_beta_factor,dirl_mu,dirl_epsilon0,initial_distance_to_saddle,distance_to_saddle,escaped_radius_0p1,F_saddle,objective_change_from_saddle
dirl_sensitivity_reference_seed2101,exact_quartic_n20_p0.5,DIRL1,converged,20,20,0.5,0.1,2.1111111953012576,1400,2.111111111111111,6.361875105380711e-13,20,20,0.2814042998265344,0.0,-4.3738154348327285e-09,-2.186907717416364e-08,False,0.019490368000106173,0.017894248000402513,0.0015961199997036601,0,0,0,0,0,,,0.0,0.0,0.0,0.0,4.222222222222222,,,,,dirl_sensitivity,quartic,0.001,2101,reference,0.2,1.0,0.9,0.01,0.0010000000000000135,0.00039030715343345225,False,2.111111111111111,0.0
dirl_sensitivity_reference_seed2101,exact_quartic_n20_p0.5,DIRL2,converged,20,20,0.5,0.1,2.1111111953012576,300,2.1111111111111107,6.726659577102313e-13,20,20,0.2814042998265344,0.0,-4.5394734499160094e-09,-2.2697367249580047e-08,False,0.004698738999877605,0.004242338999574713,0.0004564000003028923,0,0,0,0,0,,,0.0,0.0,0.0,0.0,4.222222222222222,,,,,dirl_sensitivity,quartic,0.001,2101,reference,0.2,1.0,0.9,0.01,0.0010000000000000135,0.000397629890273052,False,2.111111111111111,-4.440892098500626e-16
dirl_sensitivity_reference_seed2102,exact_quartic_n20_p0.5,DIRL1,converged,20,20,0.5,0.1,2.1111112109773416,1368,2.1111111111111103,2.5700349627010404e-15,20,20,0.2814042998265344,0.0,-3.7421829524042494e-11,-1.8710914762021242e-10,False,0.049747681999861015,0.017646858000489374,0.03210082399937164,0,0,0,0,0,,,0.0,0.0,0.0,0.0,4.222222222222222,,,,,dirl_sensitivity,quartic,0.001,2102,reference,0.2,1.0,0.9,0.01,0.0010000000000000406,3.610264886569391e-05,False,2.111111111111111,-8.881784197001252e-16
dirl_sensitivity_reference_seed2102,exact_quartic_n20_p0.5,DIRL2,converged,20,20,0.5,0.1,2.1111112109773416,263,2.1111111111111107,1.3374185944009307e-15,20,20,0.2814042998265344,0.0,-3.883985494335107e-11,-1.9419927471675535e-10,False,0.015973057999872253,0.0038095290008186566,0.012163528999053597,0,0,0,0,0,,,0.0,0.0,0.0,0.0,4.222222222222222,,,,,dirl_sensitivity,quartic,0.001,2102,reference,0.2,1.0,0.9,0.01,0.0010000000000000406,3.678028919732373e-05,False,2.111111111111111,-4.440892098500626e-16
dirl_sensitivity_reference_seed2103,exact_quartic_n20_p0.5,DIRL1,converged,20,20,0.5,0.1,2.1111112089219133,1368,2.1111111111111107,3.2895485729491924e-14,20,20,0.2814042998265344,0.0,-6.052464987527095e-10,-3.026232493763547e-09,False,0.05003145299974676,0.01815557800409806,0.0318758749956487,0,0,0,0,0,,,0.0,0.0,0.0,0.0,4.222222222222222,,,,,dirl_sensitivity,quartic,0.001,2103,reference,0.2,1.0,0.9,0.01,0.0009999999999999575,0.00014519192973372623,False,2.111111111111111,-4.440892098500626e-16
dirl_sensitivity_reference_seed2103,exact_quartic_n20_p0.5,DIRL2,converged,20,20,0.5,0.1,2.1111112089219133,263,2.111111111111111,3.459854342036064e-14,20,20,0.2814042998265344,0.0,-6.281765455029564e-10,-3.140882727514782e-09,False,0.016178996999997253,0.003973629000483925,0.012205367999513328,0,0,0,0,0,,,0.0,0.0,0.0,0.0,4.222222222222222,,,,,dirl_sensitivity,quartic,0.001,2103,reference,0.2,1.0,0.9,0.01,0.0009999999999999575,0.00014791668662749076,False,2.111111111111111,0.0
dirl_sensitivity_reference_seed2104,exact_quartic_n20_p0.5,DIRL1,converged,20,20,0.5,0.1,2.1111112033020416,1400,2.1111111111111107,2.207831278998113e-13,20,20,0.2814042998265344,0.0,-2.1599395813587385e-09,-1.0799697906793691e-08,False,0.018687546999899496,0.0172176789999412,0.0014698679999582964,0,0,0,0,0,,,0.0,0.0,0.0,0.0,4.222222222222222,,,,,dirl_sensitivity,quartic,0.001,2104,reference,0.2,1.0,0.9,0.01,0.0009999999999999027,0.00027428187087120834,False,2.111111111111111,-4.440892098500626e-16
dirl_sensitivity_reference_seed2104,exact_quartic_n20_p0.5,DIRL2,converged,20,20,0.5,0.1,2.1111112033020416,300,2.111111111111111,2.334588008947913e-13,20,20,0.2814042998265344,0.0,-2.2417419934250837e-09,-1.1208709967125419e-08,False,0.004440369999883842,0.004011000000218701,0.0004293699996651412,0,0,0,0,0,,,0.0,0.0,0.0,0.0,4.222222222222222,,,,,dirl_sensitivity,quartic,0.001,2104,reference,0.2,1.0,0.9,0.01,0.0009999999999999027,0.0002794274789173686,False,2.111111111111111,0.0
dirl_sensitivity_reference_seed2105,exact_quartic_n20_p0.5,DIRL1,converged,20,20,0.5,0.1,2.1111112076867196,1368,2.1111111111111107,6.417657908215267e-14,20,20,0.2814042998265344,0.0,-9.46928792322499e-10,-4.734643961612493e-09,False,0.048218692999853374,0.017367367000588274,0.0308513259992651,0,0,0,0,0,,,0.0,0.0,0.0,0.0,4.222222222222222,,,,,dirl_sensitivity,quartic,0.001,2105,reference,0.2,1.0,0.9,0.01,0.0009999999999999567,0.00018160800012070278,False,2.111111111111111,-4.440892098500626e-16
dirl_sensitivity_reference_seed2105,exact_quartic_n20_p0.5,DIRL2,converged,20,20,0.5,0.1,2.1111112076867196,263,2.111111111111111,6.778033239404601e-14,20,20,0.2814042998265344,0.0,-9.827294117359386e-10,-4.913647058679693e-09,False,0.015820377000181907,0.0037615580004057847,0.012058818999776122,0,0,0,0,0,,,0.0,0.0,0.0,0.0,4.222222222222222,,,,,dirl_sensitivity,quartic,0.001,2105,reference,0.2,1.0,0.9,0.01,0.0009999999999999567,0.00018500918167340446,False,2.111111111111111,0.0
