iteration,objective,objective_change_double,objective_change_high_precision,distance_to_saddle,step_norm,fb_residual,support_size,relative_lambda_min,elapsed_seconds,first_machine_fixed_iteration,total_runtime_seconds
1,2.1111111111111374,2.6201263381153694e-14,2.6649112078139245e-14,3.8711820782363e-06,8.718513589298301e-06,1.1542981430550435e-07,20,3.5013791403173424e-08,0.001273910000008982,10,94.08344318799982
2,2.1111111111111107,-4.440892098500626e-16,8.327525793714626e-17,3.836716401449667e-06,4.87370327067685e-07,6.4525983670985745e-09,20,1.9552981764875022e-09,0.002367249999906562,10,94.08344318799982
3,2.111111111111111,0.0,2.602200190674067e-19,3.8366082182274866e-06,2.7244304216638427e-08,3.6070421753761064e-10,20,1.0730739212714096e-10,0.003394359999902008,10,94.08344318799982
4,2.111111111111111,0.0,8.080862363182336e-22,3.836607880351092e-06,1.5229733629365783e-09,2.016360801858076e-11,20,4.003568310183206e-12,0.004378579999865906,10,94.08344318799982
5,2.1111111111111116,4.440892098500626e-16,-2.544891404779613e-24,3.836607879462737e-06,8.513523385622989e-11,1.1271404054332361e-12,20,-1.771152668971735e-12,0.0053353399998741224,10,94.08344318799982
6,2.1111111111111107,-4.440892098500626e-16,-5.077940413115228e-24,3.83660787953856e-06,4.759037267384775e-12,6.299943097637507e-14,20,-2.094019402321085e-12,0.006266299999879266,10,94.08344318799982
7,2.111111111111111,0.0,-5.0858557813431854e-24,3.836607879617088e-06,2.6599759745580585e-13,3.556116624076653e-15,20,-2.111991137532241e-12,0.0071548490000168385,10,94.08344318799982
8,2.111111111111111,0.0,-5.085880681242354e-24,3.836607879617091e-06,1.5014714634990314e-14,1.7639058457283257e-16,20,-2.113031971617829e-12,0.007946008999851983,10,94.08344318799982
9,2.111111111111111,0.0,-5.085880738919365e-24,3.836607879617091e-06,7.447602459741819e-16,0.0,20,-2.113066666087349e-12,0.008754078999800186,10,94.08344318799982
10,2.111111111111111,0.0,-5.085880738919365e-24,3.836607879617091e-06,0.0,0.0,20,-2.113066666087349e-12,0.009550528999852759,10,94.08344318799982
11,2.111111111111111,0.0,-5.085880738919365e-24,3.836607879617091e-06,0.0,0.0,20,-2.113066666087349e-12,0.01033710899992002,10,94.08344318799982
12,2.111111111111111,0.0,-5.085880738919365e-24,3.836607879617091e-06,0.0,0.0,20,-2.113066666087349e-12,0.011121129000002838,10,94.08344318799982
13,2.111111111111111,0.0,-5.085880738919365e-24,3.836607879617091e-06,0.0,0.0,20,-2.113066666087349e-12,0.011901378999937151,10,94.08344318799982
14,2.111111111111111,0.0,-5.085880738919365e-24,3.836607879617091e-06,0.0,0.0,20,-2.113066666087349e-12,0.012672788999907425,10,94.08344318799982
16,2.111111111111111,0.0,-5.085880738919365e-24,3.836607879617091e-06,0.0,0.0,20,-2.113066666087349e-12,0.01354455799992138,10,94.08344318799982
17,2.111111111111111,0.0,-5.085880738919365e-24,3.836607879617091e-06,0.0,0.0,20,-2.113066666087349e-12,0.01432603799980825,10,94.08344318799982
18,2.111111111111111,0.0,-5.085880738919365e-24,3.836607879617091e-06,0.0,0.0,20,-2.113066666087349e-12,0.01510243799998534,10,94.08344318799982
20,2.111111111111111,0.0,-5.085880738919365e-24,3.836607879617091e-06,0.0,0.0,20,-2.113066666087349e-12,0.015970317999972394,10,94.08344318799982
21,2.111111111111111,0.0,-5.085880738919365e-24,3.836607879617091e-06,0.0,0.0,20,-2.113066666087349e-12,0.016734827999925983,10,94.08344318799982
23,2.111111111111111,0.0,-5.085880738919365e-24,3.836607879617091e-06,0.0,0.0,20,-2.113066666087349e-12,0.01760103799983881,10,94.08344318799982
25,2.111111111111111,0.0,-5.085880738919365e-24,3.836607879617091e-06,0.0,0.0,20,-2.113066666087349e-12,0.018467227999963143,10,94.08344318799982
27,2.111111111111111,0.0,-5.085880738919365e-24,3.836607879617091e-06,0.0,0.0,20,-2.113066666087349e-12,0.019331987999976263,10,94.08344318799982
29,2.111111111111111,0.0,-5.085880738919365e-24,3.836607879617091e-06,0.0,0.0,20,-2.113066666087349e-12,0.020197527999926024,10,94.08344318799982
32,2.111111111111111,0.0,-5.085880738919365e-24,3.836607879617091e-06,0.0,0.0,20,-2.113066666087349e-12,0.021162986999797795,10,94.08344318799982
34,2.111111111111111,0.0,-5.085880738919365e-24,3.836607879617091e-06,0.0,0.0,20,-2.113066666087349e-12,0.022033416999875044,10,94.08344318799982
37,2.111111111111111,0.0,-5.085880738919365e-24,3.836607879617091e-06,0.0,0.0,20,-2.113066666087349e-12,0.02299758699996346,10,94.08344318799982
40,2.111111111111111,0.0,-5.085880738919365e-24,3.836607879617091e-06,0.0,0.0,20,-2.113066666087349e-12,0.023958106999998563,10,94.08344318799982
43,2.111111111111111,0.0,-5.085880738919365e-24,3.836607879617091e-06,0.0,0.0,20,-2.113066666087349e-12,0.02492065699993873,10,94.08344318799982
47,2.111111111111111,0.0,-5.085880738919365e-24,3.836607879617091e-06,0.0,0.0,20,-2.113066666087349e-12,0.025977656999884857,10,94.08344318799982
51,2.111111111111111,0.0,-5.085880738919365e-24,3.836607879617091e-06,0.0,0.0,20,-2.113066666087349e-12,0.027030626999930973,10,94.08344318799982
