problem,geometry,n,p,stationarity_norm,fb_fixed_residual,lambda_min,lambda_second,D3_along_escape,D4_along_escape,F_saddle,gamma
exact_strict_n20_p0.3,strict,20,0.3,1.193812447098184e-16,4.965068306494546e-16,-0.010500000000000023,0.2799999999999999,0.0,-0.04819499999999998,2.0299003322259135,3.1561461794019934
exact_strict_n20_p0.5,strict,20,0.5,6.582812753581314e-17,4.965068306494546e-16,-0.012500000000000004,0.19999999999999996,0.0,-0.04687499999999999,2.111111111111111,4.222222222222222
exact_strict_n20_p0.8,strict,20,0.8,6.206335383118183e-17,4.965068306494546e-16,-0.007999999999999997,0.07999999999999999,0.0,-0.021119999999999993,2.666666666666667,9.895833333333337
exact_strict_n50_p0.3,strict,50,0.3,1.9329521701561158e-16,7.850462293418876e-16,-0.010500000000000023,0.2799999999999999,0.0,-0.04819499999999998,5.074750830564784,3.1561461794019934
exact_strict_n50_p0.5,strict,50,0.5,1.0055412576335686e-16,7.850462293418876e-16,-0.012500000000000004,0.19999999999999996,0.0,-0.04687499999999999,5.277777777777778,4.222222222222222
exact_strict_n50_p0.8,strict,50,0.8,9.813077866773594e-17,7.850462293418876e-16,-0.007999999999999997,0.07999999999999999,0.0,-0.021119999999999993,6.666666666666667,9.895833333333337
exact_quartic_n20_p0.3,quartic,20,0.3,1.193812447098184e-16,4.965068306494546e-16,0.0,0.2799999999999999,0.0,-0.04819499999999998,2.0299003322259135,3.1561461794019934
exact_quartic_n20_p0.5,quartic,20,0.5,6.582812753581314e-17,4.965068306494546e-16,-2.0816681711721685e-17,0.1999999999999999,0.0,-0.04687499999999999,2.111111111111111,4.222222222222222
exact_quartic_n20_p0.8,quartic,20,0.8,6.206335383118183e-17,4.965068306494546e-16,-6.938893903907228e-18,0.07999999999999999,0.0,-0.021119999999999993,2.666666666666667,9.895833333333337
exact_quartic_n50_p0.3,quartic,50,0.3,1.9329521701561158e-16,7.850462293418876e-16,0.0,0.2799999999999999,0.0,-0.04819499999999998,5.074750830564784,3.1561461794019934
exact_quartic_n50_p0.5,quartic,50,0.5,1.0055412576335686e-16,7.850462293418876e-16,-2.0816681711721685e-17,0.1999999999999999,0.0,-0.04687499999999999,5.277777777777778,4.222222222222222
exact_quartic_n50_p0.8,quartic,50,0.8,9.813077866773594e-17,7.850462293418876e-16,-6.938893903907228e-18,0.07999999999999999,0.0,-0.021119999999999993,6.666666666666667,9.895833333333337
