dirl_config,method,dirl_alpha,dirl_beta_factor,dirl_mu,runs,converged_runs,locmin_runs,escaped_runs,median_distance_to_saddle,median_final_residual,median_objective_change,median_iterations,median_runtime
alpha_0p10,DIRL1,0.1,1.0,0.9,5,5,0,0,0.00018160803382210935,6.416735081167724e-14,-4.440892098500626e-16,2750.0,0.03515389600192975
alpha_0p10,DIRL2,0.1,1.0,0.9,5,5,0,0,0.00018501274384029537,2.8516232103703827e-13,0.0,272.0,0.003636768999740525
alpha_0p50,DIRL1,0.5,1.0,0.9,5,5,0,0,0.00018160790563300964,6.409163750412557e-14,0.0,600.0,0.007387628999595108
alpha_0p50,DIRL2,0.5,1.0,0.9,5,5,0,0,0.00018499849963492942,6.773585757925071e-14,0.0,300.0,0.0040026799997576745
beta_factor_2p0,DIRL1,0.2,2.0,0.9,5,5,0,0,0.00018330583532606302,6.599432656924565e-14,-4.440892098500626e-16,1368.0,0.01805753699932211
beta_factor_2p0,DIRL2,0.2,2.0,0.9,5,5,0,0,0.0001850139531247235,9.423413186066337e-14,-4.440892098500626e-16,263.0,0.0036846689999947557
mu_0p80,DIRL1,0.2,1.0,0.8,5,5,0,0,0.0001833058765497826,6.596142622518479e-14,-4.440892098500626e-16,677.0,0.008634208000330545
mu_0p80,DIRL2,0.2,1.0,0.8,5,5,0,0,0.00018501254570318497,1.3245325219900005e-13,0.0,136.0,0.0018288700000539393
mu_0p95,DIRL1,0.2,1.0,0.95,5,5,0,0,0.00017825932581200558,6.065711757788479e-14,-4.440892098500626e-16,2750.0,0.0358953640004529
mu_0p95,DIRL2,0.2,1.0,0.95,5,5,0,0,0.0001850024239557374,6.776684558353125e-14,0.0,539.0,0.008256949000269742
reference,DIRL1,0.2,1.0,0.9,5,5,0,0,0.00018160800012070278,6.417657908215267e-14,-4.440892098500626e-16,1368.0,0.017646858000489374
reference,DIRL2,0.2,1.0,0.9,5,5,0,0,0.00018500918167340446,6.778033239404601e-14,0.0,263.0,0.003973629000483925
