n,p,method,runs,converged_runs,capped_runs,locmin_runs,median_final_objective,median_final_residual,median_iterations,median_support_size,median_relative_lambda_min,median_runtime,runtime_q25,runtime_q75,median_verification_calls,median_corrections,median_log10_theoretical_correction_bound,median_verify_support,median_eig_time,median_probe_time,median_verification_time_fraction,verification_time_fraction_q25,verification_time_fraction_q75,paired_overhead_ratio_q25,paired_overhead_ratio_median,paired_overhead_ratio_q75
50,0.3,4V-FB,5,5,0,5,2.5591978562276787,9.830519191276212e-12,1796.0,25.0,0.021049419897158857,0.13323045000004186,0.11056116400004612,0.17458094500000243,11.0,0.0,43.71615986197914,25.0,0.0005574399998522495,0.00011337999978877633,0.007154595943645551,0.005972669508314143,0.00782341299446044,1.0512950983962062,1.0546554570558166,1.0592494158722856
50,0.3,FB,5,5,0,5,2.5591978562276787,9.830519191276212e-12,1796.0,25.0,0.021049419897158857,0.12674889100003384,0.10437689399998362,0.1588053469999977,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,
50,0.5,4V-FB,5,5,0,5,2.489274057989382,9.860073911596886e-12,2397.0,27.0,0.013220725080252163,0.1901165319999336,0.18301396299989392,0.2346494260000327,11.0,0.0,30.639461621042763,27.0,0.0006202299999813476,0.00010423999992781319,0.004396323942718745,0.003923493319086783,0.00478869605868506,1.048038457571586,1.0500735363141718,1.0522732877096814
50,0.5,FB,5,5,0,5,2.489274057989382,9.860073911596886e-12,2397.0,27.0,0.013220725080252163,0.18105068399995616,0.17392246400004296,0.2238939080000364,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,
50,0.8,4V-FB,5,5,0,5,2.6493972717160617,9.90397393176527e-12,4459.0,32.0,0.00843798011891767,0.35088538799993785,0.28674862799994116,0.5004860569999892,12.0,0.0,25.7282984097578,32.0,0.0006750199999032702,0.00012295000021822489,0.002832785211684022,0.002403377134291313,0.003364644592995927,1.0462899458482793,1.0466031836771956,1.0499830991019514
50,0.8,FB,5,5,0,5,2.6493972717160617,9.90397393176527e-12,4459.0,32.0,0.00843798011891767,0.33526115100005427,0.2746551999999838,0.47666105999996944,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,
100,0.3,4V-FB,5,5,0,5,5.244109815406402,9.866803374619506e-12,2848.0,50.0,0.01163544785177621,0.23162712600003488,0.2286224059999995,0.24369248499999685,12.0,0.0,48.69789923332126,50.0,0.0011156200000641547,0.00014091999992160709,0.006032713438263356,0.005636857602218973,0.006751202736133268,1.0434543366919569,1.0505101888279595,1.0557232304988438
100,0.3,FB,5,5,0,5,5.244109815406402,9.866803374619506e-12,2848.0,50.0,0.01163544785177621,0.2204901280000513,0.21655524799996329,0.2335439859999724,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,
100,0.5,4V-FB,5,5,0,5,5.110292884332067,9.858596273693948e-12,3025.0,54.0,0.013474929674878842,0.246611724000104,0.23116193699991072,0.31003746399994725,11.0,0.0,33.768182544777744,54.0,0.001090200000362529,0.00011840000024676556,0.005708865713362811,0.004128144565190592,0.006458864398101023,1.0451352316755442,1.050425113241585,1.0506170058403004
100,0.5,FB,5,5,0,5,5.110292884332067,9.858596273693948e-12,3025.0,54.0,0.013474929674878842,0.2359615450000092,0.22006512799998745,0.29510036700003184,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,
100,0.8,4V-FB,5,5,0,5,4.960862665602466,9.955159839051022e-12,8136.0,64.0,0.0036469781370114824,0.6551650740000241,0.5527011690001018,0.6661179719999382,13.0,0.0,27.815141604150018,64.0,0.0015661800000543735,0.00015532900010839512,0.002977602683956964,0.002945157212251127,0.00354709128437504,1.040749509611921,1.0419296064987236,1.0443689901991104
100,0.8,FB,5,5,0,5,4.960862665602466,9.955159839051022e-12,8136.0,64.0,0.0036469781370114824,0.6287997479998921,0.5292202030000226,0.6461791049998737,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,
200,0.3,4V-FB,5,5,0,5,11.313799192731853,9.902798004874266e-12,3181.0,102.0,0.012132092180317142,0.28117132900001707,0.24803211400012515,0.31511255399982474,12.0,0.0,52.79760057008388,102.0,0.0027721699998437543,0.00020986000026823604,0.010790364195330642,0.01058206305994494,0.01281918324110815,1.0550799490177598,1.0558414204342206,1.058446448064815
200,0.3,FB,5,5,0,5,11.313799192731853,9.902798004874266e-12,3181.0,102.0,0.012132092180317142,0.26706579100005,0.23361352599999918,0.29771232600000985,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,
200,0.5,4V-FB,5,5,0,5,10.316289336821278,9.889659485655108e-12,4342.0,109.0,0.008438333603480628,0.389437222999959,0.34184660999994776,0.411452029999964,12.0,0.0,36.388688063948145,109.0,0.003095569000379328,0.00019418900023993046,0.009102958867714828,0.00882384716877985,0.010220879211312641,1.051883772398846,1.0526813241693345,1.0530292794524037
200,0.5,FB,5,5,0,5,10.316289336821278,9.889659485655108e-12,4342.0,109.0,0.008438333603480628,0.3698256359998595,0.32473893300016243,0.3911573130001216,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,
200,0.8,4V-FB,5,5,0,5,9.962765005698671,9.969005310549435e-12,9504.0,121.0,0.0034138442494500865,0.8579647449998902,0.6492416250000588,0.8687271130002046,13.0,0.0,29.624717962764834,121.0,0.00406137799973294,0.0002458990002196515,0.005855429207703831,0.005304896166374376,0.005905310532701264,1.038520942846787,1.0402885452994073,1.0430858934379328
