geometry,perturbation,method,runs,locmin_runs,escaped_runs,median_final_objective,median_objective_change,median_final_residual,median_distance_to_saddle,median_relative_lambda_min,median_iterations,median_runtime,median_verification_calls,median_corrections,median_log10_theoretical_correction_bound
quartic,1e-05,4V-FB,30,30,30,3.83751296276627,-0.034041022371949836,3.172513483204738e-12,1.352487749778311,0.5776685733117266,39.0,0.00438195449999057,6.0,1.0,17.600908507431008
quartic,1e-05,DIRL1,30,0,0,3.8707087486157254,0.0,2.437181516854897e-15,1.4899226561364735e-06,-3.1503569594296514e-13,1368.0,0.017916537998985405,0.0,0.0,
quartic,1e-05,DIRL2,30,0,0,3.870708748615725,0.0,1.3735061072670567e-15,1.5174736726805767e-06,-3.2511196116199617e-13,263.0,0.0038198245000558018,0.0,0.0,
quartic,1e-05,FB,30,0,0,3.8707087486157254,0.0,6.726113382558169e-14,1.5175448275437456e-06,-3.261651861295476e-13,6.0,0.0006011750000425309,0.0,0.0,
quartic,0.0001,4V-FB,30,30,30,3.8375129627662696,-0.034041022371949836,3.1721769130085248e-12,1.3524877497783117,0.5776685733117266,39.0,0.0043380290001096,6.0,1.0,17.600908508552415
quartic,0.0001,DIRL1,30,0,0,3.8707087486157254,-4.440892098500626e-16,2.4356894069149867e-15,1.489923601211233e-05,-3.1528081237012065e-11,1368.0,0.017741237500331408,0.0,0.0,
quartic,0.0001,DIRL2,30,0,0,3.870708748615725,0.0,1.3685908911073188e-15,1.517476337815228e-05,-3.2520543797558736e-11,263.0,0.003815608999161668,0.0,0.0,
quartic,0.0001,FB,30,0,0,3.870708748615725,0.0,3.7804193372035685e-14,1.5175449033093377e-05,-3.2523078972009735e-11,7.0,0.0006113449999247678,0.0,0.0,
quartic,0.001,4V-FB,30,30,30,3.83751296276627,-0.034041022371949836,3.1692150717156088e-12,1.3524877497783168,0.5776685733117269,40.0,0.004424160000098709,6.0,1.0,17.600908620694398
quartic,0.001,DIRL1,30,0,0,3.8707087486157254,-2.220446049250313e-16,3.17195204081392e-14,0.00014899335304579357,-3.1528432667206536e-09,1368.0,0.01761706250078987,0.0,0.0,
quartic,0.001,DIRL2,30,0,0,3.870708748615725,0.0,3.3201460723986425e-14,0.00015175030507624378,-3.25208564690744e-09,263.0,0.003921059498907198,0.0,0.0,
quartic,0.001,FB,30,0,0,3.8707087486157254,0.0,3.784218034435815e-13,0.00015175456694744535,-3.2522584327998487e-09,7.0,0.0006958750000194414,0.0,0.0,
quartic,0.01,4V-FB,30,30,30,3.8375129627662696,-0.034041022371949836,3.154338553369167e-12,1.3524877497783654,0.5776685733117295,41.0,0.004589079500078697,6.0,1.0,17.600919836105675
quartic,0.01,DIRL1,30,0,0,3.8707087486156957,-1.0436096431476471e-14,3.1684782945961236e-11,0.001490294612071246,-3.1541391421563823e-07,10000.0,0.12211740049963282,0.0,0.0,
quartic,0.01,DIRL2,30,0,0,3.870708748615694,-1.1324274851176597e-14,3.324285411829311e-11,0.0015181094452074318,-3.253490941810702e-07,10000.0,0.1343892165023135,0.0,0.0,
quartic,0.01,FB,30,0,0,3.870708748615694,-1.1102230246251565e-14,3.3291716053817034e-11,0.0015190281923884523,-3.2589547145485204e-07,10000.0,0.7354914864999955,0.0,0.0,
strict,1e-05,4V-FB,5,5,5,2.065011551463048,-0.04609955964806334,3.567356936167399e-12,1.428069641118275,0.55019441937696,40.0,0.0042529889999514126,6.0,1.0,15.810984073599462
strict,1e-05,DIRL1,5,5,5,2.065011551463055,-0.04609955964805623,9.772761467998746e-14,1.428069641139957,0.5501944193779423,1453.0,0.017587186999890037,0.0,0.0,
strict,1e-05,DIRL2,5,5,5,2.0650115514630496,-0.04609955964806156,1.1349606169597413e-13,1.428069641139859,0.5501944193779379,1757.0,0.02310122699987005,0.0,0.0,
strict,1e-05,FB,5,5,5,2.065011551463048,-0.04609955964806334,3.5777696594825677e-12,1.4280696411182108,0.550194419376957,259.0,0.023919945999978154,0.0,0.0,
strict,0.001,4V-FB,5,5,5,2.065011551463048,-0.04609955964806334,3.5310701730993873e-12,1.4280696411185019,0.5501944193769702,164.0,0.01625922699986404,5.0,0.0,15.81098423430477
strict,0.001,DIRL1,5,5,5,2.065011551463047,-0.046099559648064226,2.4901008837531957e-15,1.4280696411405713,0.5501944193779701,1368.0,0.017869646000008288,0.0,0.0,
strict,0.001,DIRL2,5,5,5,2.0650115514630745,-0.04609955964803669,1.1237332632945423e-12,1.4280696411335458,0.5501944193776518,1248.0,0.017145209000318573,0.0,0.0,
strict,0.001,FB,5,5,5,2.065011551463048,-0.04609955964806334,3.5310701730993873e-12,1.4280696411185019,0.5501944193769702,179.0,0.016615187000070364,0.0,0.0,
