regime,geometry,accepted,attempts,median_actual_drop,median_required_drop,median_roundoff_guard,median_log10_guard_to_theory,median_eig_time,median_probe_time
exact,quartic,False,30,-0.018025590565589278,2.6115755145523097e-15,3.837512962766278e-13,3.3918534453489864,4.882000007455645e-05,9.36999992973142e-06
exact,quartic,True,6,0.00021411386068836968,2.6115755145523097e-15,3.8707087486157254e-13,3.396788524763754,6.72700000450277e-05,1.0009999982685258e-05
exact,strict,False,30,-0.01719359121081654,2.6115755145523097e-15,3.8285384764601375e-13,3.3900891837296716,5.012999997688894e-05,9.520000048723887e-06
exact,strict,True,6,0.0021938233597100787,2.6115755145523097e-15,3.8707087486157254e-13,3.396788524763754,8.570500006044313e-05,1.0239999937766697e-05
ordinary,,False,732,-3.402743697389354e-05,9.533972675049429e-32,8.95968410564718e-13,18.74312015066146,0.00022232499998153799,1.5620000112903654e-05
perturbed_saddle,quartic,False,600,-0.018025590565457383,2.6114891918152497e-15,3.837512962766278e-13,3.3918606277534873,5.354999996143306e-05,9.38000005135109e-06
perturbed_saddle,quartic,True,120,0.00021417693737113552,2.6114891918152497e-15,3.870708748615694e-13,3.3967957071682546,8.564999995996914e-05,1.0284999916621018e-05
perturbed_saddle,strict,False,50,-0.01719359121080344,5.2197167989826236e-15,2.065011551463048e-13,1.5972755448432263,2.793500004827365e-05,8.685000125296938e-06
perturbed_saddle,strict,True,6,0.002193834977256337,5.219717520317448e-15,2.1111111111110991e-13,1.606864090941679,5.3519999937634566e-05,9.539999837215873e-06
schedule_ablation,,False,936,-5.428547650732085e-05,9.533972675049429e-32,5.277084562092721e-13,18.74312015066146,7.675000006202026e-05,9.959999943021103e-06
